X,Y,Z,Place,Angle
-0.054,0.061485291572496,0.0446716791742279,False,0.0
-0.054,0.0651447148533605,0.0391428936931641,False,0.0
-0.054,0.0683083475187367,0.0333162071559698,False,0.0
-0.054,0.0709521124137873,0.0272359641654428,False,0.0
-0.054,0.0730558888913122,0.0209484390420919,False,0.0
-0.054,0.0746036659420224,0.0145014836486174,False,0.0
-0.054,0.0755836640479887,0.0079441632083416,False,0.0
-0.054,0.0759884248318857,0.0013263828892335,False,0.0
-0.054,0.0758148678197466,-0.0053014920045535,False,0.0
-0.054,0.0750643138852304,-0.0118890193430575,False,0.0
-0.054,0.0737424751969757,-0.0183860640655747,False,0.0
-0.054,0.071859411745548,-0.0247431797387438,False,0.0
-0.054,0.0694294547808376,-0.0309119848737608,False,0.0
-0.054,0.066471097742594,-0.0368455311387216,False,0.0
-0.054,0.0630068555141831,-0.0424986606637767,False,0.0
-0.054,0.0590630930707297,-0.0478283497197876,False,0.0
-0.054,0.0446716791742279,-0.061485291572496,False,0.0
-0.054,0.0391428936931641,-0.0651447148533605,False,0.0
-0.054,0.0333162071559699,-0.0683083475187366,False,0.0
-0.054,0.0272359641654428,-0.0709521124137873,False,0.0
-0.054,0.0209484390420919,-0.0730558888913122,False,0.0
-0.054,0.0145014836486174,-0.0746036659420224,False,0.0
-0.054,0.0079441632083416,-0.0755836640479887,False,0.0
-0.054,0.0013263828892335,-0.0759884248318857,False,0.0
-0.054,-0.0053014920045534,-0.0758148678197466,False,0.0
-0.054,-0.0118890193430575,-0.0750643138852304,False,0.0
-0.054,-0.0183860640655747,-0.0737424751969757,True,3.141592653589793
-0.054,-0.0247431797387439,-0.071859411745548,False,0.0
-0.054,-0.0309119848737607,-0.0694294547808376,False,0.0
-0.054,-0.0368455311387216,-0.066471097742594,False,0.0
-0.054,-0.0424986606637767,-0.0630068555141831,False,0.0
-0.054,-0.0478283497197876,-0.0590630930707298,False,0.0
-0.054,-0.061485291572496,-0.0446716791742279,False,0.0
-0.054,-0.0651447148533605,-0.0391428936931641,False,0.0
-0.054,-0.0683083475187366,-0.0333162071559699,False,0.0
-0.054,-0.0709521124137873,-0.0272359641654428,False,0.0
-0.054,-0.0730558888913122,-0.0209484390420919,False,0.0
-0.054,-0.0746036659420224,-0.0145014836486173,False,0.0
-0.054,-0.0755836640479887,-0.0079441632083417,False,0.0
-0.054,-0.0759884248318857,-0.0013263828892335,False,0.0
-0.054,-0.0758148678197466,0.0053014920045535,False,0.0
-0.054,-0.0750643138852304,0.0118890193430575,False,0.0
-0.054,-0.0737424751969757,0.0183860640655747,False,0.0
-0.054,-0.0718594117455481,0.0247431797387438,False,0.0
-0.054,-0.0694294547808376,0.0309119848737607,False,0.0
-0.054,-0.066471097742594,0.0368455311387216,False,0.0
-0.054,-0.0630068555141831,0.0424986606637767,False,0.0
-0.054,-0.0590630930707298,0.0478283497197876,False,0.0
-0.048,-0.0446716791742279,0.061485291572496,False,0.0
-0.048,-0.0391428936931641,0.0651447148533605,False,0.0
-0.048,-0.0333162071559698,0.0683083475187367,False,0.0
-0.048,-0.0272359641654428,0.0709521124137873,False,0.0
-0.048,-0.0209484390420919,0.0730558888913122,False,0.0
-0.048,-0.0145014836486174,0.0746036659420224,False,0.0
-0.048,-0.0079441632083416,0.0755836640479887,False,0.0
-0.048,-0.0013263828892335,0.0759884248318857,False,0.0
-0.048,0.0053014920045535,0.0758148678197466,False,0.0
-0.048,0.0118890193430575,0.0750643138852304,False,0.0
-0.048,0.0183860640655747,0.0737424751969757,False,0.0
-0.048,0.0247431797387439,0.071859411745548,False,0.0
-0.048,0.0309119848737608,0.0694294547808376,False,0.0
-0.048,0.0368455311387216,0.066471097742594,False,0.0
-0.048,0.0424986606637767,0.0630068555141831,False,0.0
-0.048,0.0478283497197876,0.0590630930707297,False,0.0
-0.048,0.061485291572496,0.0446716791742279,True,1.5707963267948966
-0.048,0.0651447148533605,0.0391428936931641,False,0.0
-0.048,0.0683083475187367,0.0333162071559698,False,0.0
-0.048,0.0709521124137873,0.0272359641654428,False,0.0
-0.048,0.0730558888913122,0.0209484390420919,False,0.0
-0.048,0.0746036659420224,0.0145014836486174,False,0.0
-0.048,0.0755836640479887,0.0079441632083416,False,0.0
-0.048,0.0759884248318857,0.0013263828892335,False,0.0
-0.048,0.0758148678197466,-0.0053014920045535,False,0.0
-0.048,0.0750643138852304,-0.0118890193430575,False,0.0
-0.048,0.0737424751969757,-0.0183860640655747,True,0.0
-0.048,0.071859411745548,-0.0247431797387438,True,1.5707963267948966
-0.048,0.0694294547808376,-0.0309119848737608,False,0.0
-0.048,0.066471097742594,-0.0368455311387216,False,0.0
-0.048,0.0630068555141831,-0.0424986606637767,False,0.0
-0.048,0.0590630930707297,-0.0478283497197876,True,4.71238898038469
-0.048,0.0446716791742279,-0.061485291572496,True,1.5707963267948966
-0.048,0.0391428936931641,-0.0651447148533605,False,0.0
-0.048,0.0333162071559699,-0.0683083475187366,False,0.0
-0.048,0.0272359641654428,-0.0709521124137873,False,0.0
-0.048,0.0209484390420919,-0.0730558888913122,False,0.0
-0.048,0.0145014836486174,-0.0746036659420224,False,0.0
-0.048,0.0079441632083416,-0.0755836640479887,False,0.0
-0.048,0.0013263828892335,-0.0759884248318857,False,0.0
-0.048,-0.0053014920045534,-0.0758148678197466,True,3.141592653589793
-0.048,-0.0118890193430575,-0.0750643138852304,False,0.0
-0.048,-0.0183860640655747,-0.0737424751969757,False,0.0
-0.048,-0.0247431797387439,-0.071859411745548,False,0.0
-0.048,-0.0309119848737607,-0.0694294547808376,True,4.71238898038469
-0.048,-0.0368455311387216,-0.066471097742594,False,0.0
-0.048,-0.0424986606637767,-0.0630068555141831,False,0.0
-0.048,-0.0478283497197876,-0.0590630930707298,False,0.0
-0.048,-0.061485291572496,-0.0446716791742279,False,0.0
-0.048,-0.0651447148533605,-0.0391428936931641,False,0.0
-0.048,-0.0683083475187366,-0.0333162071559699,True,4.71238898038469
-0.048,-0.0709521124137873,-0.0272359641654428,False,0.0
-0.048,-0.0730558888913122,-0.0209484390420919,False,0.0
-0.048,-0.0746036659420224,-0.0145014836486173,False,0.0
-0.048,-0.0755836640479887,-0.0079441632083417,False,0.0
-0.048,-0.0759884248318857,-0.0013263828892335,False,0.0
-0.048,-0.0758148678197466,0.0053014920045535,True,0.0
-0.048,-0.0750643138852304,0.0118890193430575,False,0.0
-0.048,-0.0737424751969757,0.0183860640655747,True,0.0
-0.048,-0.0718594117455481,0.0247431797387438,False,0.0
-0.048,-0.0694294547808376,0.0309119848737607,False,0.0
-0.048,-0.066471097742594,0.0368455311387216,False,0.0
-0.048,-0.0630068555141831,0.0424986606637767,False,0.0
-0.048,-0.0590630930707298,0.0478283497197876,False,0.0
-0.042,-0.0446716791742279,0.061485291572496,False,0.0
-0.042,-0.0391428936931641,0.0651447148533605,False,0.0
-0.042,-0.0333162071559698,0.0683083475187367,False,0.0
-0.042,-0.0272359641654428,0.0709521124137873,False,0.0
-0.042,-0.0209484390420919,0.0730558888913122,True,1.5707963267948966
-0.042,-0.0145014836486174,0.0746036659420224,False,0.0
-0.042,-0.0079441632083416,0.0755836640479887,False,0.0
-0.042,-0.0013263828892335,0.0759884248318857,False,0.0
-0.042,0.0053014920045535,0.0758148678197466,False,0.0
-0.042,0.0118890193430575,0.0750643138852304,False,0.0
-0.042,0.0183860640655747,0.0737424751969757,False,0.0
-0.042,0.0247431797387439,0.071859411745548,False,0.0
-0.042,0.0309119848737608,0.0694294547808376,False,0.0
-0.042,0.0368455311387216,0.066471097742594,False,0.0
-0.042,0.0424986606637767,0.0630068555141831,False,0.0
-0.042,0.0478283497197876,0.0590630930707297,False,0.0
-0.042,0.061485291572496,0.0446716791742279,False,0.0
-0.042,0.0651447148533605,0.0391428936931641,False,0.0
-0.042,0.0683083475187367,0.0333162071559698,False,0.0
-0.042,0.0709521124137873,0.0272359641654428,False,0.0
-0.042,0.0730558888913122,0.0209484390420919,False,0.0
-0.042,0.0746036659420224,0.0145014836486174,False,0.0
-0.042,0.0755836640479887,0.0079441632083416,False,0.0
-0.042,0.0759884248318857,0.0013263828892335,False,0.0
-0.042,0.0758148678197466,-0.0053014920045535,False,0.0
-0.042,0.0750643138852304,-0.0118890193430575,False,0.0
-0.042,0.0737424751969757,-0.0183860640655747,True,3.141592653589793
-0.042,0.071859411745548,-0.0247431797387438,False,0.0
-0.042,0.0694294547808376,-0.0309119848737608,False,0.0
-0.042,0.066471097742594,-0.0368455311387216,False,0.0
-0.042,0.0630068555141831,-0.0424986606637767,False,0.0
-0.042,0.0590630930707297,-0.0478283497197876,False,0.0
-0.042,0.0446716791742279,-0.061485291572496,False,0.0
-0.042,0.0391428936931641,-0.0651447148533605,False,0.0
-0.042,0.0333162071559699,-0.0683083475187366,False,0.0
-0.042,0.0272359641654428,-0.0709521124137873,True,0.0
-0.042,0.0209484390420919,-0.0730558888913122,False,0.0
-0.042,0.0145014836486174,-0.0746036659420224,False,0.0
-0.042,0.0079441632083416,-0.0755836640479887,False,0.0
-0.042,0.0013263828892335,-0.0759884248318857,True,1.5707963267948966
-0.042,-0.0053014920045534,-0.0758148678197466,False,0.0
-0.042,-0.0118890193430575,-0.0750643138852304,False,0.0
-0.042,-0.0183860640655747,-0.0737424751969757,False,0.0
-0.042,-0.0247431797387439,-0.071859411745548,False,0.0
-0.042,-0.0309119848737607,-0.0694294547808376,False,0.0
-0.042,-0.0368455311387216,-0.066471097742594,False,0.0
-0.042,-0.0424986606637767,-0.0630068555141831,False,0.0
-0.042,-0.0478283497197876,-0.0590630930707298,False,0.0
-0.042,-0.061485291572496,-0.0446716791742279,False,0.0
-0.042,-0.0651447148533605,-0.0391428936931641,False,0.0
-0.042,-0.0683083475187366,-0.0333162071559699,False,0.0
-0.042,-0.0709521124137873,-0.0272359641654428,False,0.0
-0.042,-0.0730558888913122,-0.0209484390420919,False,0.0
-0.042,-0.0746036659420224,-0.0145014836486173,True,0.0
-0.042,-0.0755836640479887,-0.0079441632083417,False,0.0
-0.042,-0.0759884248318857,-0.0013263828892335,False,0.0
-0.042,-0.0758148678197466,0.0053014920045535,False,0.0
-0.042,-0.0750643138852304,0.0118890193430575,False,0.0
-0.042,-0.0737424751969757,0.0183860640655747,False,0.0
-0.042,-0.0718594117455481,0.0247431797387438,False,0.0
-0.042,-0.0694294547808376,0.0309119848737607,False,0.0
-0.042,-0.066471097742594,0.0368455311387216,False,0.0
-0.042,-0.0630068555141831,0.0424986606637767,True,4.71238898038469
-0.042,-0.0590630930707298,0.0478283497197876,True,0.0
-0.036,-0.0446716791742279,0.061485291572496,False,0.0
-0.036,-0.0391428936931641,0.0651447148533605,False,0.0
-0.036,-0.0333162071559698,0.0683083475187367,False,0.0
-0.036,-0.0272359641654428,0.0709521124137873,False,0.0
-0.036,-0.0209484390420919,0.0730558888913122,False,0.0
-0.036,-0.0145014836486174,0.0746036659420224,False,0.0
-0.036,-0.0079441632083416,0.0755836640479887,False,0.0
-0.036,-0.0013263828892335,0.0759884248318857,False,0.0
-0.036,0.0053014920045535,0.0758148678197466,False,0.0
-0.036,0.0118890193430575,0.0750643138852304,False,0.0
-0.036,0.0183860640655747,0.0737424751969757,False,0.0
-0.036,0.0247431797387439,0.071859411745548,False,0.0
-0.036,0.0309119848737608,0.0694294547808376,False,0.0
-0.036,0.0368455311387216,0.066471097742594,False,0.0
-0.036,0.0424986606637767,0.0630068555141831,False,0.0
-0.036,0.0478283497197876,0.0590630930707297,False,0.0
-0.036,0.061485291572496,0.0446716791742279,False,0.0
-0.036,0.0651447148533605,0.0391428936931641,False,0.0
-0.036,0.0683083475187367,0.0333162071559698,False,0.0
-0.036,0.0709521124137873,0.0272359641654428,False,0.0
-0.036,0.0730558888913122,0.0209484390420919,False,0.0
-0.036,0.0746036659420224,0.0145014836486174,False,0.0
-0.036,0.0755836640479887,0.0079441632083416,False,0.0
-0.036,0.0759884248318857,0.0013263828892335,False,0.0
-0.036,0.0758148678197466,-0.0053014920045535,False,0.0
-0.036,0.0750643138852304,-0.0118890193430575,False,0.0
-0.036,0.0737424751969757,-0.0183860640655747,False,0.0
-0.036,0.071859411745548,-0.0247431797387438,False,0.0
-0.036,0.0694294547808376,-0.0309119848737608,False,0.0
-0.036,0.066471097742594,-0.0368455311387216,False,0.0
-0.036,0.0630068555141831,-0.0424986606637767,False,0.0
-0.036,0.0590630930707297,-0.0478283497197876,True,3.141592653589793
-0.036,0.0446716791742279,-0.061485291572496,False,0.0
-0.036,0.0391428936931641,-0.0651447148533605,False,0.0
-0.036,0.0333162071559699,-0.0683083475187366,False,0.0
-0.036,0.0272359641654428,-0.0709521124137873,False,0.0
-0.036,0.0209484390420919,-0.0730558888913122,False,0.0
-0.036,0.0145014836486174,-0.0746036659420224,False,0.0
-0.036,0.0079441632083416,-0.0755836640479887,False,0.0
-0.036,0.0013263828892335,-0.0759884248318857,False,0.0
-0.036,-0.0053014920045534,-0.0758148678197466,False,0.0
-0.036,-0.0118890193430575,-0.0750643138852304,False,0.0
-0.036,-0.0183860640655747,-0.0737424751969757,False,0.0
-0.036,-0.0247431797387439,-0.071859411745548,False,0.0
-0.036,-0.0309119848737607,-0.0694294547808376,False,0.0
-0.036,-0.0368455311387216,-0.066471097742594,True,4.71238898038469
-0.036,-0.0424986606637767,-0.0630068555141831,False,0.0
-0.036,-0.0478283497197876,-0.0590630930707298,False,0.0
-0.036,-0.061485291572496,-0.0446716791742279,False,0.0
-0.036,-0.0651447148533605,-0.0391428936931641,False,0.0
-0.036,-0.0683083475187366,-0.0333162071559699,False,0.0
-0.036,-0.0709521124137873,-0.0272359641654428,False,0.0
-0.036,-0.0730558888913122,-0.0209484390420919,False,0.0
-0.036,-0.0746036659420224,-0.0145014836486173,False,0.0
-0.036,-0.0755836640479887,-0.0079441632083417,False,0.0
-0.036,-0.0759884248318857,-0.0013263828892335,False,0.0
-0.036,-0.0758148678197466,0.0053014920045535,False,0.0
-0.036,-0.0750643138852304,0.0118890193430575,False,0.0
-0.036,-0.0737424751969757,0.0183860640655747,False,0.0
-0.036,-0.0718594117455481,0.0247431797387438,False,0.0
-0.036,-0.0694294547808376,0.0309119848737607,False,0.0
-0.036,-0.066471097742594,0.0368455311387216,False,0.0
-0.036,-0.0630068555141831,0.0424986606637767,False,0.0
-0.036,-0.0590630930707298,0.0478283497197876,False,0.0
-0.03,-0.0446716791742279,0.061485291572496,False,0.0
-0.03,-0.0391428936931641,0.0651447148533605,False,0.0
-0.03,-0.0333162071559698,0.0683083475187367,False,0.0
-0.03,-0.0272359641654428,0.0709521124137873,False,0.0
-0.03,-0.0209484390420919,0.0730558888913122,False,0.0
-0.03,-0.0145014836486174,0.0746036659420224,False,0.0
-0.03,-0.0079441632083416,0.0755836640479887,False,0.0
-0.03,-0.0013263828892335,0.0759884248318857,False,0.0
-0.03,0.0053014920045535,0.0758148678197466,False,0.0
-0.03,0.0118890193430575,0.0750643138852304,False,0.0
-0.03,0.0183860640655747,0.0737424751969757,False,0.0
-0.03,0.0247431797387439,0.071859411745548,False,0.0
-0.03,0.0309119848737608,0.0694294547808376,False,0.0
-0.03,0.0368455311387216,0.066471097742594,False,0.0
-0.03,0.0424986606637767,0.0630068555141831,False,0.0
-0.03,0.0478283497197876,0.0590630930707297,False,0.0
-0.03,0.061485291572496,0.0446716791742279,False,0.0
-0.03,0.0651447148533605,0.0391428936931641,False,0.0
-0.03,0.0683083475187367,0.0333162071559698,False,0.0
-0.03,0.0709521124137873,0.0272359641654428,False,0.0
-0.03,0.0730558888913122,0.0209484390420919,False,0.0
-0.03,0.0746036659420224,0.0145014836486174,False,0.0
-0.03,0.0755836640479887,0.0079441632083416,False,0.0
-0.03,0.0759884248318857,0.0013263828892335,False,0.0
-0.03,0.0758148678197466,-0.0053014920045535,False,0.0
-0.03,0.0750643138852304,-0.0118890193430575,False,0.0
-0.03,0.0737424751969757,-0.0183860640655747,False,0.0
-0.03,0.071859411745548,-0.0247431797387438,False,0.0
-0.03,0.0694294547808376,-0.0309119848737608,False,0.0
-0.03,0.066471097742594,-0.0368455311387216,True,0.0
-0.03,0.0630068555141831,-0.0424986606637767,False,0.0
-0.03,0.0590630930707297,-0.0478283497197876,False,0.0
-0.03,0.0446716791742279,-0.061485291572496,False,0.0
-0.03,0.0391428936931641,-0.0651447148533605,False,0.0
-0.03,0.0333162071559699,-0.0683083475187366,False,0.0
-0.03,0.0272359641654428,-0.0709521124137873,False,0.0
-0.03,0.0209484390420919,-0.0730558888913122,False,0.0
-0.03,0.0145014836486174,-0.0746036659420224,False,0.0
-0.03,0.0079441632083416,-0.0755836640479887,False,0.0
-0.03,0.0013263828892335,-0.0759884248318857,False,0.0
-0.03,-0.0053014920045534,-0.0758148678197466,False,0.0
-0.03,-0.0118890193430575,-0.0750643138852304,False,0.0
-0.03,-0.0183860640655747,-0.0737424751969757,False,0.0
-0.03,-0.0247431797387439,-0.071859411745548,False,0.0
-0.03,-0.0309119848737607,-0.0694294547808376,False,0.0
-0.03,-0.0368455311387216,-0.066471097742594,False,0.0
-0.03,-0.0424986606637767,-0.0630068555141831,False,0.0
-0.03,-0.0478283497197876,-0.0590630930707298,False,0.0
-0.03,-0.061485291572496,-0.0446716791742279,False,0.0
-0.03,-0.0651447148533605,-0.0391428936931641,False,0.0
-0.03,-0.0683083475187366,-0.0333162071559699,False,0.0
-0.03,-0.0709521124137873,-0.0272359641654428,False,0.0
-0.03,-0.0730558888913122,-0.0209484390420919,False,0.0
-0.03,-0.0746036659420224,-0.0145014836486173,False,0.0
-0.03,-0.0755836640479887,-0.0079441632083417,False,0.0
-0.03,-0.0759884248318857,-0.0013263828892335,False,0.0
-0.03,-0.0758148678197466,0.0053014920045535,False,0.0
-0.03,-0.0750643138852304,0.0118890193430575,False,0.0
-0.03,-0.0737424751969757,0.0183860640655747,False,0.0
-0.03,-0.0718594117455481,0.0247431797387438,False,0.0
-0.03,-0.0694294547808376,0.0309119848737607,False,0.0
-0.03,-0.066471097742594,0.0368455311387216,False,0.0
-0.03,-0.0630068555141831,0.0424986606637767,False,0.0
-0.03,-0.0590630930707298,0.0478283497197876,False,0.0
-0.024,-0.0446716791742279,0.061485291572496,False,0.0
-0.024,-0.0391428936931641,0.0651447148533605,False,0.0
-0.024,-0.0333162071559698,0.0683083475187367,False,0.0
-0.024,-0.0272359641654428,0.0709521124137873,False,0.0
-0.024,-0.0209484390420919,0.0730558888913122,False,0.0
-0.024,-0.0145014836486174,0.0746036659420224,False,0.0
-0.024,-0.0079441632083416,0.0755836640479887,False,0.0
-0.024,-0.0013263828892335,0.0759884248318857,False,0.0
-0.024,0.0053014920045535,0.0758148678197466,False,0.0
-0.024,0.0118890193430575,0.0750643138852304,False,0.0
-0.024,0.0183860640655747,0.0737424751969757,False,0.0
-0.024,0.0247431797387439,0.071859411745548,False,0.0
-0.024,0.0309119848737608,0.0694294547808376,False,0.0
-0.024,0.0368455311387216,0.066471097742594,False,0.0
-0.024,0.0424986606637767,0.0630068555141831,False,0.0
-0.024,0.0478283497197876,0.0590630930707297,False,0.0
-0.024,0.061485291572496,0.0446716791742279,False,0.0
-0.024,0.0651447148533605,0.0391428936931641,False,0.0
-0.024,0.0683083475187367,0.0333162071559698,False,0.0
-0.024,0.0709521124137873,0.0272359641654428,False,0.0
-0.024,0.0730558888913122,0.0209484390420919,False,0.0
-0.024,0.0746036659420224,0.0145014836486174,False,0.0
-0.024,0.0755836640479887,0.0079441632083416,False,0.0
-0.024,0.0759884248318857,0.0013263828892335,False,0.0
-0.024,0.0758148678197466,-0.0053014920045535,False,0.0
-0.024,0.0750643138852304,-0.0118890193430575,False,0.0
-0.024,0.0737424751969757,-0.0183860640655747,False,0.0
-0.024,0.071859411745548,-0.0247431797387438,False,0.0
-0.024,0.0694294547808376,-0.0309119848737608,False,0.0
-0.024,0.066471097742594,-0.0368455311387216,False,0.0
-0.024,0.0630068555141831,-0.0424986606637767,False,0.0
-0.024,0.0590630930707297,-0.0478283497197876,False,0.0
-0.024,0.0446716791742279,-0.061485291572496,False,0.0
-0.024,0.0391428936931641,-0.0651447148533605,False,0.0
-0.024,0.0333162071559699,-0.0683083475187366,False,0.0
-0.024,0.0272359641654428,-0.0709521124137873,False,0.0
-0.024,0.0209484390420919,-0.0730558888913122,False,0.0
-0.024,0.0145014836486174,-0.0746036659420224,False,0.0
-0.024,0.0079441632083416,-0.0755836640479887,False,0.0
-0.024,0.0013263828892335,-0.0759884248318857,False,0.0
-0.024,-0.0053014920045534,-0.0758148678197466,False,0.0
-0.024,-0.0118890193430575,-0.0750643138852304,False,0.0
-0.024,-0.0183860640655747,-0.0737424751969757,False,0.0
-0.024,-0.0247431797387439,-0.071859411745548,False,0.0
-0.024,-0.0309119848737607,-0.0694294547808376,False,0.0
-0.024,-0.0368455311387216,-0.066471097742594,False,0.0
-0.024,-0.0424986606637767,-0.0630068555141831,False,0.0
-0.024,-0.0478283497197876,-0.0590630930707298,False,0.0
-0.024,-0.061485291572496,-0.0446716791742279,False,0.0
-0.024,-0.0651447148533605,-0.0391428936931641,False,0.0
-0.024,-0.0683083475187366,-0.0333162071559699,False,0.0
-0.024,-0.0709521124137873,-0.0272359641654428,False,0.0
-0.024,-0.0730558888913122,-0.0209484390420919,False,0.0
-0.024,-0.0746036659420224,-0.0145014836486173,False,0.0
-0.024,-0.0755836640479887,-0.0079441632083417,False,0.0
-0.024,-0.0759884248318857,-0.0013263828892335,False,0.0
-0.024,-0.0758148678197466,0.0053014920045535,False,0.0
-0.024,-0.0750643138852304,0.0118890193430575,False,0.0
-0.024,-0.0737424751969757,0.0183860640655747,False,0.0
-0.024,-0.0718594117455481,0.0247431797387438,False,0.0
-0.024,-0.0694294547808376,0.0309119848737607,False,0.0
-0.024,-0.066471097742594,0.0368455311387216,False,0.0
-0.024,-0.0630068555141831,0.0424986606637767,False,0.0
-0.024,-0.0590630930707298,0.0478283497197876,False,0.0
-0.018,-0.0446716791742279,0.061485291572496,False,0.0
-0.018,-0.0391428936931641,0.0651447148533605,False,0.0
-0.018,-0.0333162071559698,0.0683083475187367,False,0.0
-0.018,-0.0272359641654428,0.0709521124137873,False,0.0
-0.018,-0.0209484390420919,0.0730558888913122,False,0.0
-0.018,-0.0145014836486174,0.0746036659420224,False,0.0
-0.018,-0.0079441632083416,0.0755836640479887,False,0.0
-0.018,-0.0013263828892335,0.0759884248318857,False,0.0
-0.018,0.0053014920045535,0.0758148678197466,False,0.0
-0.018,0.0118890193430575,0.0750643138852304,False,0.0
-0.018,0.0183860640655747,0.0737424751969757,False,0.0
-0.018,0.0247431797387439,0.071859411745548,False,0.0
-0.018,0.0309119848737608,0.0694294547808376,False,0.0
-0.018,0.0368455311387216,0.066471097742594,False,0.0
-0.018,0.0424986606637767,0.0630068555141831,False,0.0
-0.018,0.0478283497197876,0.0590630930707297,False,0.0
-0.018,0.061485291572496,0.0446716791742279,False,0.0
-0.018,0.0651447148533605,0.0391428936931641,False,0.0
-0.018,0.0683083475187367,0.0333162071559698,False,0.0
-0.018,0.0709521124137873,0.0272359641654428,False,0.0
-0.018,0.0730558888913122,0.0209484390420919,False,0.0
-0.018,0.0746036659420224,0.0145014836486174,False,0.0
-0.018,0.0755836640479887,0.0079441632083416,False,0.0
-0.018,0.0759884248318857,0.0013263828892335,False,0.0
-0.018,0.0758148678197466,-0.0053014920045535,False,0.0
-0.018,0.0750643138852304,-0.0118890193430575,False,0.0
-0.018,0.0737424751969757,-0.0183860640655747,False,0.0
-0.018,0.071859411745548,-0.0247431797387438,False,0.0
-0.018,0.0694294547808376,-0.0309119848737608,False,0.0
-0.018,0.066471097742594,-0.0368455311387216,False,0.0
-0.018,0.0630068555141831,-0.0424986606637767,False,0.0
-0.018,0.0590630930707297,-0.0478283497197876,False,0.0
-0.018,0.0446716791742279,-0.061485291572496,False,0.0
-0.018,0.0391428936931641,-0.0651447148533605,False,0.0
-0.018,0.0333162071559699,-0.0683083475187366,False,0.0
-0.018,0.0272359641654428,-0.0709521124137873,False,0.0
-0.018,0.0209484390420919,-0.0730558888913122,False,0.0
-0.018,0.0145014836486174,-0.0746036659420224,False,0.0
-0.018,0.0079441632083416,-0.0755836640479887,False,0.0
-0.018,0.0013263828892335,-0.0759884248318857,False,0.0
-0.018,-0.0053014920045534,-0.0758148678197466,False,0.0
-0.018,-0.0118890193430575,-0.0750643138852304,False,0.0
-0.018,-0.0183860640655747,-0.0737424751969757,False,0.0
-0.018,-0.0247431797387439,-0.071859411745548,True,1.5707963267948966
-0.018,-0.0309119848737607,-0.0694294547808376,False,0.0
-0.018,-0.0368455311387216,-0.066471097742594,False,0.0
-0.018,-0.0424986606637767,-0.0630068555141831,False,0.0
-0.018,-0.0478283497197876,-0.0590630930707298,False,0.0
-0.018,-0.061485291572496,-0.0446716791742279,False,0.0
-0.018,-0.0651447148533605,-0.0391428936931641,False,0.0
-0.018,-0.0683083475187366,-0.0333162071559699,False,0.0
-0.018,-0.0709521124137873,-0.0272359641654428,False,0.0
-0.018,-0.0730558888913122,-0.0209484390420919,False,0.0
-0.018,-0.0746036659420224,-0.0145014836486173,False,0.0
-0.018,-0.0755836640479887,-0.0079441632083417,False,0.0
-0.018,-0.0759884248318857,-0.0013263828892335,False,0.0
-0.018,-0.0758148678197466,0.0053014920045535,False,0.0
-0.018,-0.0750643138852304,0.0118890193430575,False,0.0
-0.018,-0.0737424751969757,0.0183860640655747,False,0.0
-0.018,-0.0718594117455481,0.0247431797387438,True,3.141592653589793
-0.018,-0.0694294547808376,0.0309119848737607,False,0.0
-0.018,-0.066471097742594,0.0368455311387216,False,0.0
-0.018,-0.0630068555141831,0.0424986606637767,False,0.0
-0.018,-0.0590630930707298,0.0478283497197876,False,0.0
-0.012,-0.0446716791742279,0.061485291572496,False,0.0
-0.012,-0.0391428936931641,0.0651447148533605,False,0.0
-0.012,-0.0333162071559698,0.0683083475187367,False,0.0
-0.012,-0.0272359641654428,0.0709521124137873,False,0.0
-0.012,-0.0209484390420919,0.0730558888913122,False,0.0
-0.012,-0.0145014836486174,0.0746036659420224,False,0.0
-0.012,-0.0079441632083416,0.0755836640479887,False,0.0
-0.012,-0.0013263828892335,0.0759884248318857,False,0.0
-0.012,0.0053014920045535,0.0758148678197466,False,0.0
-0.012,0.0118890193430575,0.0750643138852304,False,0.0
-0.012,0.0183860640655747,0.0737424751969757,False,0.0
-0.012,0.0247431797387439,0.071859411745548,False,0.0
-0.012,0.0309119848737608,0.0694294547808376,False,0.0
-0.012,0.0368455311387216,0.066471097742594,False,0.0
-0.012,0.0424986606637767,0.0630068555141831,False,0.0
-0.012,0.0478283497197876,0.0590630930707297,False,0.0
-0.012,0.061485291572496,0.0446716791742279,False,0.0
-0.012,0.0651447148533605,0.0391428936931641,False,0.0
-0.012,0.0683083475187367,0.0333162071559698,False,0.0
-0.012,0.0709521124137873,0.0272359641654428,False,0.0
-0.012,0.0730558888913122,0.0209484390420919,False,0.0
-0.012,0.0746036659420224,0.0145014836486174,False,0.0
-0.012,0.0755836640479887,0.0079441632083416,False,0.0
-0.012,0.0759884248318857,0.0013263828892335,False,0.0
-0.012,0.0758148678197466,-0.0053014920045535,False,0.0
-0.012,0.0750643138852304,-0.0118890193430575,False,0.0
-0.012,0.0737424751969757,-0.0183860640655747,False,0.0
-0.012,0.071859411745548,-0.0247431797387438,False,0.0
-0.012,0.0694294547808376,-0.0309119848737608,False,0.0
-0.012,0.066471097742594,-0.0368455311387216,False,0.0
-0.012,0.0630068555141831,-0.0424986606637767,False,0.0
-0.012,0.0590630930707297,-0.0478283497197876,False,0.0
-0.012,0.0446716791742279,-0.061485291572496,False,0.0
-0.012,0.0391428936931641,-0.0651447148533605,False,0.0
